Table Name,Short Name,,Latitude (average),Longitude (average),Icon,Country,
Madagascar,Madagascar,"'Madagascar',",-20.00,47.00,,Madagascar,1
Malawi,Malawi,"'Malawi',",-13.50,34.00,,Malawi,1
Malaysia,Malaysia,"'Malaysia',",2.50,112.50,,Malaysia,1
Maldives,Maldives,"'Maldives',",3.25,73.00,,Maldives,1
Mali,Mali,"'Mali',",17.00,-4.00,,Mali,1
Malta,Malta,"'Malta',",35.83,14.58,,Malta,1
Marshall Islands,Marshall Islands,"'Marshall Islands',",9.00,168.00,,Marshall Islands,1
Mauritania,Mauritania,"'Mauritania',",20.00,-12.00,,Mauritania,1
Mauritius,Mauritius,"'Mauritius',",-20.28,57.55,,Mauritius,1
Mexico,Mexico,"'Mexico',",23.00,-102.00,,Mexico,1
"Micronesia, Fed. Sts.",Micronesia,"'Micronesia',",6.92,158.25,,"Micronesia, Federated States of",
Moldova,Moldova,"'Moldova',",47.00,29.00,,"Moldova, Republic of",
Monaco,Monaco,"'Monaco',",43.73,7.40,,Monaco,1
Mongolia,Mongolia,"'Mongolia',",46.00,105.00,,Mongolia,1
Montenegro,Montenegro,"'Montenegro',",42.00,19.00,,Montenegro,1
Morocco,Morocco,"'Morocco',",32.00,-5.00,,Morocco,1
Mozambique,Mozambique,"'Mozambique',",-18.25,35.00,,Mozambique,1
Myanmar,Myanmar,"'Myanmar',",22.00,98.00,,Myanmar,1
Namibia,Namibia,"'Namibia',",-22.00,17.00,,Namibia,1
Nepal,Nepal,"'Nepal',",28.00,84.00,,Nepal,1
Netherlands,Netherlands,"'Netherlands',",52.50,5.75,,Netherlands,1
New Caledonia,New Caledonia,"'New Caledonia',",-21.50,165.50,,New Caledonia,1
New Zealand,New Zealand,"'New Zealand',",-41.00,174.00,,New Zealand,1
Nicaragua,Nicaragua,"'Nicaragua',",13.00,-85.00,,Nicaragua,1
Niger,Niger,"'Niger',",16.00,8.00,,Niger,1
Nigeria,Nigeria,"'Nigeria',",10.00,8.00,,Nigeria,1
Northern Mariana Islands,Northern Mariana Islands,"'Northern Mariana Islands',",15.20,145.75,,Northern Mariana Islands,1
Norway,Norway,"'Norway',",62.00,10.00,,Norway,1
Oman,Oman,"'Oman',",21.00,57.00,,Oman,1
Pakistan,Pakistan,"'Pakistan',",30.00,70.00,,Pakistan,1
Palau,Palau,"'Palau',",7.50,134.50,,Palau,1
Panama,Panama,"'Panama',",9.00,-80.00,,Panama,1
Papua New Guinea,Papua New Guinea,"'Papua New Guinea',",-6.00,147.00,,Papua New Guinea,1
Paraguay,Paraguay,"'Paraguay',",-23.00,-58.00,,Paraguay,1
Peru,Peru,"'Peru',",-10.00,-76.00,,Peru,1
Philippines,Philippines,"'Philippines',",13.00,122.00,,Philippines,1
Poland,Poland,"'Poland',",52.00,20.00,,Poland,1
Portugal,Portugal,"'Portugal',",39.50,-8.00,,Portugal,1
Puerto Rico,Puerto Rico,"'Puerto Rico',",18.25,-66.50,,Puerto Rico,1
Qatar,Qatar,"'Qatar',",25.50,51.25,,Qatar,1
Romania,Romania,"'Romania',",46.00,25.00,,Romania,1
Russian Federation,Russia,"'Russia',",60.00,100.00,,Russian Federation,
Rwanda,Rwanda,"'Rwanda',",-2.00,30.00,,Rwanda,1
Samoa,Samoa,"'Samoa',",-13.58,-172.33,,Samoa,1
San Marino,San Marino,"'San Marino',",43.77,12.42,,San Marino,1
Sao Tome and Principe,Sao Tome and Principe,"'Sao Tome and Principe',",1.00,7.00,,Sao Tome and Principe,1
Saudi Arabia,Saudi Arabia,"'Saudi Arabia',",25.00,45.00,,Saudi Arabia,1
Senegal,Senegal,"'Senegal',",14.00,-14.00,,Senegal,1
Serbia,Serbia,"'Serbia',",44.00,21.00,,Serbia,1
Seychelles,Seychelles,"'Seychelles',",-4.58,55.67,,Seychelles,1
Sierra Leone,Sierra Leone,"'Sierra Leone',",8.50,-11.50,,Sierra Leone,1
Singapore,Singapore,"'Singapore',",1.37,103.80,,Singapore,1
Sint Maarten (Dutch part),Sint Maarten (Dutch part),"'Sint Maarten (Dutch part)',",18.00,63.00,,Sint Maarten (Dutch part),1
Slovak Republic,Slovak Republic,"'Slovak Republic',",48.67,19.50,,Slovakia,
Slovenia,Slovenia,"'Slovenia',",46.00,15.00,,Slovenia,1
